ticker,company_name,current_trading_price,open_price,previous_day_close_price,change_in_price,no_outstanding_share,change_percentage,current_day_close_price,load_date,market
MMTC,Micro Imaging Technology Inc,0.95,0.93,0.97,-0.02,9014000,-2.04,0.95,2021-07-13,N
JAGSNPHARM,Jagsonpal Pharmaceuticals Ltd,170.00,173.00,172.35,-2.35,26198000,-1.36,170.00,2021-07-13,N
A2ZINFRA,A2z Infra Engineering Ltd,4.90,4.70,4.70,0.20,176119856,4.26,4.90,2021-06-01,N
KITEX,Kitex Garments Limited,185.50,178.00,168.65,16.85,66500000,9.99,185.50,2021-07-13,N
BIRLAMONEY,Aditya Birla Money Ltd,80.85,68.00,68.90,11.95,56293116,17.34,80.85,2021-07-13,N
DLINKINDIA,D Link India Limited,162.80,161.40,160.15,2.65,35504848,1.65,162.80,2021-07-13,N
LODHA,Macrotech Developers Ltd,772.00,798.00,790.45,-18.45,0,-2.33,772.00,2021-07-13,N
JINDWORLD,Jindal Worldwide Ltd.,78.30,81.60,80.80,-2.50,200520400,-3.09,78.30,2021-07-13,N
AKSHARCHEM,Aksharchem (India) Ltd,461.50,457.95,457.40,4.10,8202590,0.90,461.50,2021-07-13,N
VIMTALABS,Vimta Labs Ltd,311.50,313.00,309.90,1.60,22110000,0.52,311.50,2021-07-13,N
